"","EpisodeLines","Cumulative_episode","Season","Episode_no"
"4046","Smitty: [on TV] Then why is there a smoking hole in your ceiling, sir?
",19,2,6
"4047","Centipede man: [on TV] What? Crazy upstairs lady must've been shooting down.
",19,2,6
"4048","URL: [on TV] Sir, you're on the top floor of this particular domicile.
",19,2,6
"4049","Centipede woman: [on TV] You get that [beep sound, beep sound] camera out of my house!
",19,2,6
"4050","Smitty: [on TV] Just relax, ma'am. [A light goes on behind him.] Sir, sir, put down the lamp.
",19,2,6
"4051","Centipede man: [on TV] OK. OK, I'm co-operating.
",19,2,6
"4052","Smitty: [on TV] That's it. Now put up your hands.
",19,2,6
"4053","URL: [on TV] Nice and slow. Aw, yeah!
",19,2,6
"4054","Smitty: [on TV] And while you're at it, unblur your face.
",19,2,6
"4055","Centipede man: [on TV] Aw, man.
",19,2,6
"4056","Leela: Hey, Bender, I thought you said you were in this episode.
",19,2,6
"4057","Bender: Nah, this week I'm on Caught On Tape 3 'cause of what I did in the coffee pot.
",19,2,6
"4058","Centipede man: [on TV] I'm sorry, I'm really sorry. I'm just going through some things.
",19,2,6
"4059","URL: [on TV] I'm goin' in!
",19,2,6
"4060","Announcer #1: [voice-over; on TV] Cop Department will return, after these messages.
",19,2,6
"4061","Announcer #2: [voice-over; on TV] Is today's hectic lifestyle making you tense and impatient?
",19,2,6
"4062","Bender: [tense and impatient] Shut up and get to the point!
",19,2,6
"4063","Announcer #2: [voice-over; on TV] Then come relive the carefree days of yore at Past-O-Rama ... [The picture changes to a recreated New York street with the Empire State Building in the background.] ... where Old New York comes alive.
",19,2,6
"4064","Woman: [on TV] It's like stepping back stepping back into the year 2000!
",19,2,6
"4065","Cowboy: [on TV] Time for the mammoth hunt, dudes!
",19,2,6
"4066","Einstein Actor: Let's disco dance, Hammurabi!
",19,2,6
"4067","Hammurabi Actor: Dy-no-mite!
",19,2,6
"4068","Announcer #2: [voice-over; on TV] Located on the former site of Brooklyn.
",19,2,6
"4069","Leela: Sounds like your kinda place, Fry. Wanna go?
",19,2,6
"4070","Fry: Nah. If I ever wanna go back to the year 2000 I'll just freeze myself again.
",19,2,6
"4071","Bender: C'mon, Fry, I really wanna see it. You know how I yearn for a simpler time. A time of barn dances and buggy rides, before life was cheapened by heartless hi-tech machines.
",19,2,6
"4072","Leela: But, Bender, you are--
",19,2,6
"4073","Bender: Blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah...
",19,2,6
"4074","Fry: Cool, it's just like the good old days!
",19,2,6
"4075","Mugger: Give me your wallet or I'll cut you!
",19,2,6
"4076","Fry: Hey, Leela, get a picture of me being ""mugged"".
",19,2,6
"4077","Mugger: I'll take the camera too.
",19,2,6
"4078","Bender: Learning is fun.
",19,2,6
"4079","Leela: Ooh, ancient Wall Street.
",19,2,6
"4080","Stockbroker #1: No!
",19,2,6
"4081","Stockbroker #2: I'm ruined!
",19,2,6
"4082","Tour Guide: I direct your attention to this ancient and mysterious tablet which has yet to be deciphered.
",19,2,6
"4083","Leela: Do you know what it means?
",19,2,6
"4084","Fry: Yeah, I asked a cop once. It means ""Up yours, kid"".
",19,2,6
"4085","Bender: I gotta say I'm really enjoying the day out with you people. Hey, a suicide booth! So long, suckers.
",19,2,6
"4086","Fry: Uh, sorry, Bender, that's just a phone booth.
",19,2,6
"4087","Bender: [disappointed] Oh.
",19,2,6
"4088","Leela: What were they used for?
",19,2,6
"4089","Fry: In New York? Bathrooms.
",19,2,6
"4090","Leela: Oh. I-I'll be out in a sec.
",19,2,6
"4091","Leela: [reading] Tokens only. [talking] How does this work?
",19,2,6
"4092","Fry: I'll show you. [He hops over it.] Whup.
",19,2,6
"4093","Bender: Oh, it's a turnstile.
",19,2,6
"4094","Leela: What's this? [She sniffs.] Another bathroom?
",19,2,6
"4095","Fry: No, it's a mobile apartment with no rent.
",19,2,6
"4096","Bender: C'mon, Fry. Get up!
",19,2,6
"4097","Leela: Wow! The burial chamber of the 20th century's greatest spiritual leader, Al Sharpton.
",19,2,6
"4098","Bender: Ooh. Now this guy had taste!
",19,2,6
"4099","Leela: It says he was mummified in ceremonial vestments.
",19,2,6
"4100","Fry: We sometimes called it a jogging suit.
",19,2,6
"4101","Narrator: [on speaker] The traffic jams of Old New York were a public forum of free interchange of opinions.
",19,2,6
"4102","Motorist #1: [in film] Move it, crap for brains!
",19,2,6
"4103","Motorist #2: [in film] Bug off!
",19,2,6
"4104","Motorist #3: [in film] Get home, bastard man!
",19,2,6
"4105","Narrator: [on speaker] It all started with Gerald Ford's famous invention, the ""automocar"" ... [The three start to move away from the holo-film on a moving walkway.] ... which was powered by a tank of burning fossils. Here we see a 20th century assembly line where cars were constructed by primitive robots.
",19,2,6
"4106","Robots: [chanting] Ooga! Ooga! Ooga! Ooga! Ooga! Ooga...
",19,2,6
"4107","Bender: We've come a long way, baby!
",19,2,6
"4108","Narrator: [on speaker] The fruit of the robots' labour was this ... [At the end of the assembly line some lights light up a green car.] ... the stately 1992 Latoura.
",19,2,6
"4109","Fry: Hey, my girlfriend had one of those. Actually it wasn't hers, it was her dad's. Actually she wasn't my girlfriend, she just lived next door and never closed her curtains.
",19,2,6
"4110","Leela: Fry, remember when I told you about always ending your stories a sentence earlier?
",19,2,6
"4111","Fry: C'mon, let's sneak in for a closer look.
",19,2,6
"4112","Man: Sir, we don't touch the antiques. sir. You-- Oh! [He chuckles.] I'm sorry. You work here. I should have realised from that ridiculous getup you're wearing.
",19,2,6
"4113","Fry: Hey! This is from Miller's Outpo-- Uh, I mean, yeah, I work here alright!
",19,2,6
"4114","Man: Here, move this rust bucket outside behind St. Koch's Cathedral.
",19,2,6
"4115","Leela: Did you drive much in the 20th century, Fry?
",19,2,6
"4116","Fry: Nope. [He starts the engine.] No one in New York drove. There was too much traffic. [He moves the gear lever.] Nice! Listen to that baby purr.
",19,2,6
"4117","Bender: There's a baby in there, huh?
",19,2,6
"4118","Fry: It's just like riding a bicyc--
",19,2,6
"4119","Bender: I think I got whiplash.
",19,2,6
"4120","Leela: You can't have whiplash, you don't have a neck.
",19,2,6
"4121","Bender: I meant ass whiplash.
",19,2,6
"4122","Fry: I'm just glad we hit something. I thought we'd never stop.
",19,2,6
"4123","Bending Unit: Ow! I think I got whiplash.
",19,2,6
"4124","Fry: How's that robot I ran over?
",19,2,6
"4125","Farnsworth: We did all we could.
",19,2,6
"4126","Fry: You mean he's--
",19,2,6
"4127","Farnsworth: Good as new? Yes!
",19,2,6
"4128","Farnsworth: Leela, Zoidberg, the rest of you, this is Flexo.
",19,2,6
"4129","Hermes: Sweet llamas of the Bahamas! Except for that stylish beard, he looks just like Bender!
",19,2,6
"4130","Flexo: No duh, dreadlock, we're both bending units.
",19,2,6
"4131","Bender: Hey, brobot, what's you serial number?
",19,2,6
"4132","Flexo: 3370318.
",19,2,6
"4133","Bender: No way! Mine's 2716057!
",19,2,6
"4134","Fry: I don't get it.
",19,2,6
"4135","Bender: We're both expressible as the sum of two cubes.
",19,2,6
"4136","Fry: So, uh, Flexo. Sorry about crushing your body like that. You OK now?
",19,2,6
"4137","Flexo: Well I don't feel as bad as you look! [He laughs.] Nah, I'm just messing with you, kid. You're alright. That's some face you got, though. I think they got a cream for that. [He laughs again.] Nah, you're great.
",19,2,6
"4138","Fry: Well just let me know if there's anything I can do to make it up to you.
",19,2,6
"4139","Flexo: Actually, your little stunt did a number on my back. You mind rubbin' it for me?
",19,2,6
"4140","Fry: Uh ... sure.
",19,2,6
"4141","Flexo: Aw, yeah, that's it. Little lower.
",19,2,6
"4142","Fry: How's that?
",19,2,6
"4143","Flexo: Lower. [He goes further down.] Yeah that's gettin' it. A little lower though.
",19,2,6
"4144","Fry: Uh, I can't get any lower than this.
",19,2,6
"4145","Flexo: I'll say, you're rubbing my ass!
",19,2,6
"4146","Robot #1: Hey, check it out here. Six beautiful devices. They know what you like and they'll do it to within a tolerance of one micron!
",19,2,6
"4147","Robot #2: Yeah! Spin those fans, baby!
",19,2,6
"4148","Robot #3: Alright, mama!
",19,2,6
"4149","Robot #4: Gyrate, baby!
",19,2,6
"4150","Fry: I don't like this place. It's 120 degrees and there's very little oxygen.
",19,2,6
"4151","Bender: Shut up and hoot. [The lights dim and a chunky Fembot with no distinguishing facial features rolls out on some tracks with a feather boa around her ""neck"". The robots cheer and wave their money at her.] Hubba-hubba, she is built -- in Mexico, I believe.
",19,2,6
"4152","Flexo: And that ain't silicon, it's tungsten. And plenty of it!
",19,2,6
"4153","Fry: [unsure] Uh, yeah. Look at that exhaust fan.
",19,2,6
"4154","Flexo: Ew!
",19,2,6
"4155","Bender: Pervert.
",19,2,6
"4156","Flexo: Yoo-hoo!
",19,2,6
"4157","Stripperbot: Thanks, moderate spender. Please select erotic transaction.
",19,2,6
"4158","Flexo: Yeah, how 'bout a lap dance for my pal here?
",19,2,6
"4159","Fry: Uh, no, no, that's alright. [She leans on him and he struggles.] Ow! Ow! Ow! Ow!
",19,2,6
"4160","Fry: I'm telling you, there's something about Flexo I don't like.
",19,2,6
"4161","Flexo: Hey, Fry, think fast. [He opens his chest cabinet and a gas blasts Fry in the face, making him cough.] Get it? It's chlorine!
",19,2,6
"4162","Zoidberg: It's funny because it's poisonous!
",19,2,6
"4163","Fry: Yeah, keep laughing, brine shrimp, but he's bad news. I regret ever running him over.
",19,2,6
"4164","Hermes: Take a rage dump, man. He's no worse than Bender.
",19,2,6
"4165","Fry: He's much worse. He drinks and smokes and he posts naked pictures of me on the Internet.
",19,2,6
"4166","Amy: That's Bender, alright.
",19,2,6
"4167","Fry: I'm talking about Flexo.
",19,2,6
"4168","Leela: Oh, I get it. This is cute. You're jealous of Bender's new friend!
",19,2,6
"4169","Fry: No, I'm not. Mark my words: Flexo's evil. He's the evil Bender.
",19,2,6
"4170","Hermes: Rage dump!
",19,2,6
"4171","Farnsworth: [on screen] Good news, everyone. Report to my bedroom for a private exhibition.
",19,2,6
"4172","Farnsworth: Everyone get in bed with me. I have something to show you. [Everyone climbs on and Farnsworth presses a button and makes the curtains around the bed close. What goes on inside is hidden from view.] Feast your eyes on this!
",19,2,6
"4173","Leela: It's beautiful.
",19,2,6
"4174","Amy: And huge.
",19,2,6
"4175","Fry: Can I touch it?
",19,2,6
"4176","Zoidberg: So what is it, already?
",19,2,6
"4177","Farnsworth: It's a single atom of jumbonium, an element so rare the nucleus alone is worth more than $50,000.
",19,2,6
"4178","Bender: How much more?
",19,2,6
"4179","Farnsworth: 100,000. That's why I hid it here, under my mattress.
",19,2,6
"4180","Leela: Uh, Professor, can we discuss this somewhere else?
",19,2,6
"4181","Farnsworth: Why certainly.
",19,2,6
"4182","Farnsworth: The atom sits atop this dimestore tiara which will be awarded to the winner of this year's Miss Universe pageant on the planet Tova 9. [He puts the atom on the tiara and it floats.] Your job is to deliver it, safe and sound.
",19,2,6
"4183","Amy: Wow! When I was a little girl on Mars I dreamed of being Miss Universe.
",19,2,6
"4184","Leela: That's kinda pathetic.
",19,2,6
"4185","Amy: Aw, come on, Leela. Deep down all girls wanna be Miss Universe.
",19,2,6
"4186","Leela: Not me.
",19,2,6
"4187","Amy: Really? Maybe it's just cute girls.
",19,2,6
"4188","Farnsworth: Due to the atoms tremendous value, Planet Express would go bankrupt if it was stolen. Therefore we'll need to hire on additional security for the mission.
",19,2,6
"4189","Flexo: Oh, oh, oh, oh! Mr. Professor, right here!
",19,2,6
"4190","Fry: Uh, maybe we should stick with people we know and trust. I mean, Flexo's great, but--
",19,2,6
"4191","Farnsworth: ""Flexo's great,"" you say? Well that's good enough for me. [He shakes Flexo's hand.] Welcome aboard, lad.
",19,2,6
"4192","Leela: Space bandidos have been operating in this quadrant so you'll each take 8-hour shifts guarding the safe. First Bender, then Flexo, then Fry.
",19,2,6
"4193","Fry: Wait, hold on. I don't like the sound of that. Let's just go alphabetically.
",19,2,6
"4194","Leela: OK. First Bender, then Flexo, then Fry.
",19,2,6
"4195","Fry: Wait, let's go by rank.
",19,2,6
"4196","Leela: OK. First Bender, then Flexo, then Fry.
",19,2,6
"4197","Fry: Flexo outranks me?
",19,2,6
"4198","Flexo: That's ""Flexo outranks me, sir""!
",19,2,6
"4199","Bender: Halt. Who goes there?
",19,2,6
"4200","Fry: Don't point that at me.
",19,2,6
"4201","Bender: ""Fry"" who?
",19,2,6
"4202","Fry: Look, I know Flexo's your friend but I don't trust him alone with the atom.
",19,2,6
"4203","Bender: My God, Fry! Just 'cause the guy's got a beard you label him as evil? Well I got a label for you, pal: An ugly little word called ""prejudice"".
",19,2,6
"4204","Fry: I'm not prejudiced.
",19,2,6
"4205","Bender: Ah, save it for the cross-burning, Adolf!
",19,2,6
"4206","Flexo: Keeping an eye on the safe?
",19,2,6
"4207","Bender: You know it!
",19,2,6
"4208","Flexo: Well, looks like it's my shift. You lie down and go offline for a while.
",19,2,6
"4209","Bender: Alright.
",19,2,6
"4210","Fry: Caught you! [Flexo panics.] I saw you looking at the atom!
",19,2,6
"4211","Flexo: So? I look at lots of atoms. Shouldn't you be resting up for your shift?
",19,2,6
"4212","Fry: Oh-ho, you'd like it if I went to sleep, wouldn't you?
",19,2,6
"4213","Flexo: Whatever it takes to shut your yapper. [He laughs.] Nah, I'm just kidding, you're a joker.
",19,2,6
"4214","Fry: Yeah, well here's a funny joke: I'm gonna sit right here till it's my shift.
",19,2,6
"4215","Flexo: Suit yourself, skinbag.
",19,2,6
"4216","Fry: That I will.
",19,2,6
"4217","Flexo: Good.
",19,2,6
"4218","Fry: Good.
",19,2,6
"4219","Flexo: Good.
",19,2,6
"4220","Fry: Good.
",19,2,6
"4221","Flexo: Good.
",19,2,6
"4222","Fry: Good. [Flexo doesn't reply.] Good.
",19,2,6
"4223","Fry: Well, that's eight hours.
",19,2,6
"4224","Flexo: Yeah, eight hours of solid boredom. [He laughs.] Nah, I'm kidding, you're a wonderful man.
",19,2,6
"4225","Fry: Finally, the atom is safe.
",19,2,6
"4226","Leela: What is it? [She gasps.] My God! Did you hear maracas?
",19,2,6
"4227","Fry: No.
",19,2,6
"4228","Leela: Then it wasn't space bandidos. [She turns around.] Bender, lock down the ship. Don't let Flexo escape.
",19,2,6
"4229","Bender: Aye aye, Captain. It appears that Flexo has outwitted us all. Especially me ... Bender.
",19,2,6
"4230","Leela: How could Flexo have stolen the atom?
",19,2,6
"4231","Fry: He must have used a sleep-ray on me. Sleep-rays exist in the future, right?
",19,2,6
"4232","Leela: No.
",19,2,6
"4233","Fry: Oh. Then I must've fallen asleep.
",19,2,6
"4234","Leela: Well you were sure right about Flexo being evil.
",19,2,6
"4235","Bender: I locked down the exits but he may have already gotten away.
",19,2,6
"4236","Leela: OK, thanks, Bender. Let's fan out and look for him.
",19,2,6
"4237","Bender: Roger that, I got a map of the ship right here.
",19,2,6
"4238","Leela: [whispering] Keep an eye on Fry. We can't rule out the possibility that he did it.
",19,2,6
"4239","Leela: Aha!
",19,2,6
"4240","Fry: Aha! [He opens a drawer but there is no Flexo, just Leela's panties. He rummages around anyway.] Uh, searching ... hmm.
",19,2,6
"4241","Leela: Fry? Why are you looking for Flexo in my underpants drawer?
",19,2,6
"4242","Fry: I didn't find him here 10 minutes ago so I thought it was time to check again.
",19,2,6
"4243","Bender: Well, he wasn't in the, uh, kitchen room.
",19,2,6
"4244","Fry: [suspicious] Say, Bender, can I hold that map for a second?
",19,2,6
"4245","Bender: And leave me high and dry in case of a scavenger hunt? I think not.
",19,2,6
"4246","Fry: Give it up!
",19,2,6
"4247","Bender: Alright, take it. Sheesh!
",19,2,6
"4248","Leela: Well, looks like Flexo got away clean.
",19,2,6
"4249","Bender: It's a darn shame.
",19,2,6
"4250","Leela: He must have jumped ship with the atom the second we landed.
",19,2,6
"4251","Fry: Or maybe, he never left at all! [He pulls the scarf off the robot.] Wait a minute. You're Bender.
",19,2,6
"4252","Bender: Of course, who said I wasn't?
",19,2,6
"4253","Fry: But why were you wearing that scarf and the turtleneck and this fruity number?
",19,2,6
"4254","Bender: It's a little thing called ""style"". Look it up sometime.
",19,2,6
"4255","Barker: Our ninth finalist, Miss Methane Planet, Halatina Smogmeyer. [Halatina is made entirely of gas and blows in, waving and smiling at the audience. They cheer and cough from the fumes.] And our tenth and final finalist, Miss Earth's Moon, The Crushinator.
",19,2,6
"4256","Crushinator: [mechanical voice] Thank you, Bob Barker. I'm as happy as a girl can be. End statement.
",19,2,6
"4257","Barker: Which one of these lovely womanoids will take home the atomic tiara?
",19,2,6
"4258","Leela: [whispering] Downplay the tiara.
",19,2,6
"4259","Barker: Uh, we'll find out after these subliminal messages.
",19,2,6
"4260","Barker: So you lost the atom, huh? You're garbage, human garbage! Do you brain-dead space jockeys have any idea how much that thing is worth?
",19,2,6
"4261","Fry: 100,000?
",19,2,6
"4262","Leela: 200,000?
",19,2,6
"4263","Bender: 200,001?
",19,2,6
"4264","Barker: [to Leela] You're closest without going over.
",19,2,6
"4265","Fry: Well, uh, we'll be leaving now. If you'll just sign this form saying you received the atom.
",19,2,6
"4266","Barker: I'm not signing squat. You find me that damn tiara before the pageant ends.
",19,2,6
"4267","Leela: But, Mr. Barker--
",19,2,6
"4268","Barker: Enough out of you. I may be against the fur industry, but that won't stop me from skinning you alive! As long as no one wears the skin.
",19,2,6
"4269","Leela: Well, gentlemen, it appears we're boned.
",19,2,6
"4270","Fry: Flexo!
",19,2,6
"4271","Leela: Get him!
",19,2,6
"4272","Barker: Next up in what is generously called the ""Talent Competition"", performing a traditional gangsta rap, Miss-- What the--
",19,2,6
"4273","Bender: Gotcha!
",19,2,6
"4274","Women: [chanting] Fight! Fight! Fight! Fight! Fight!
",19,2,6
"4275","Bender: Shoot him, he's choking me!
",19,2,6
"4276","Flexo: No shoot him, he's choking me!
",19,2,6
"4277","Leela: I don't know which one to shoot.
",19,2,6
"4278","Fry: Flexo! Shoot Flexo!
",19,2,6
"4279","Amazonian: Women-only room!
",19,2,6
"4280","Leela: Alright, enough of this. [She shoots a display of model planets hanging from the ceiling and they fall and knock Bender and Flexo to the floor. Another planet bounces onto one of the doors, revealing the atom. Gasps all around. Bender sits up. The atom is in his chest cabinet.] There's the atom!
",19,2,6
"4281","Bender: Aw, jeez.
",19,2,6
"4282","Fry: Bender? You stole the atom?
",19,2,6
"4283","Bender: Yeah, but I can explain, it's very valuable.
",19,2,6
"4284","Flexo: I saw him snatch it while Fry was asleep. That's why I ran to tell Bob Barker.
",19,2,6
"4285","Fry: Whoa, whoa, wait a second. You mean Bender is the evil Bender? I am shocked. Shocked! Well not that shocked.
",19,2,6
"4286","Leela: I'm sorry we suspected you, Flexo. It's just, what with the beard and all--
",19,2,6
"4287","Flexo: Don't even bother. You people sicken me. I put my life on the line to guard that atom and this is how you repay me? Well you can go rot for all I care. [He laughs his anger away.] Nah, I'm just kidding, you guys are alright.
",19,2,6
"4288","Fry: I'm so confused. The Bender I liked turn out to be evil and the Bender I hated was good. How can I live my life when I can't tell good from evil?
",19,2,6
"4289","Bender: Eh, they're both fine choices. Whatever floats your boat.
",19,2,6
"4290","URL: Is this the guy?
",19,2,6
"4291","Barker: Huh? Oh, yeah, that looks like him. Whatever.
",19,2,6
"4292","Flexo: Wait, but I--
",19,2,6
"4293","Barker: Take him away.
",19,2,6
"4294","Barker: Alright, let's put an end to this pathetic hoedown. Brannigan, read the thing.
",19,2,6
"4295","Zapp: And the winner is...
",19,2,6
"4296","Leela: It figures. Who else but Zapp Brannigan would be judging the most chauvinistic, degrading, dehumanising--
",19,2,6
"4297","Zapp: Huh? Leela?
",19,2,6
"4298","Leela: Wait, you're making a-- [Some flowers are handed to her.] Ooh! Look at that. [A woman puts the tiara on her head.] I feel like a princess!
",19,2,6
"4299","Zapp: Wait. What are you people? Idiots? I'm still going mano a mano with this envelope. [He struggles with the envelope and finally rips it open. He takes out a piece of paper.] And the winner is: Miss Vega 4. [The women take the flowers and tiara from Leela and put it on Miss Vega 4, a big purple splodge. She waves to the audience.] [singing] There it is, Miss Universe. There it is, looking weird.
",19,2,6
"4300","Leela: I almost had that tiara.
",19,2,6
"4301","Bender: Me too.
",19,2,6
"4302","Fry: Well, you guys might both be losers but I just made out with that radiator woman from the radiator planet.
",19,2,6
"4303","Leela: Fry, that's a radiator.
",19,2,6
"4304","Fry: Oh. [He clears his throat.] Is there a burn ward within 10 feet of here?
",19,2,6
"4305","Lincoln: [on TV] Four score and 1145 years ago our forefathers' foreheads conceived a new nation.
",20,2,7
"4306","Washington: [on TV] And this Presidents' Day we honoureth those values that my body fought and died for.
",20,2,7
"4307","Malfunctioning Eddie: [on TV] Values like this brand new Plymouth V'Ger! Hi, I'm Malfunctioning Eddie and I'm malfunctioning so badly I'm practically giving these cars away!
",20,2,7
"4308","Amy: Hey, let's go car shopping! My parents promised if I got all B's they'd buy me a bar, and I got all C's!
",20,2,7
"4309","Bender: Mind if I tag along? I gotta bring my ass in for servicing. [He picks up a recall notice.] The recall notice says it could burst into flames in a low-speed collision.
",20,2,7
"4310","Fry: No wonder you've been staying at the back of conga lines lately.
",20,2,7
"4311","Leela: I'll get my coat. Let's go, Bender.
",20,2,7
"4312","Victor: Hello, I am Victor and I know many things about the art of unloading fine cars on beautiful women.
",20,2,7
"4313","Leela: Uh-huh. Now tell us she's witty and sophisticated.
",20,2,7
"4314","Victor: Ah-ah-ah! A gentleman always sells a lady a car first. [He takes Amy over to a car.] This is the Beta Romeo. Yes, the Beta Romeo. Note the cross-your-heart seat belt which protects, lifts and separates.
",20,2,7
"4315","Thundercougarfalconbird salesman: Spotted her the minute you walked in, didn't you, sir? She's a real beauty.
",20,2,7
"4316","Fry: Yup, she's beautiful coffee alright.
",20,2,7
"4317","Salesman: No, the Ford Thundercougarfalconbird! [He takes Fry over to a car.] Nothing makes you feel more like a man than a Thundercougarfalconbird. So how much were you thinking of spending on this Thundercougarfalconbird?
",20,2,7
"4318","Fry: Sorry, I'm not here to buy.
",20,2,7
"4319","Salesman: I understand, and it's wonderful you don't care whether anyone questions your sexual orientation.
",20,2,7
"4320","Fry: I care! I care plenty! I just don't know how to make them stop!
",20,2,7
"4321","Salesman: One word: Thundercougarfalconbird!
",20,2,7
"4322","Victor: The luxurious seats are stuffed with eagle down and the dashboard inlaid with the beaks of a thousand eagles. Also, there are some eagles under the floorboards.
",20,2,7
"4323","Amy: That's an awful lot of eagle.
",20,2,7
"4324","Victor: Yes, and yet--
",20,2,7
"4325","Amy: What's wrong?
",20,2,7
"4326","Victor: It is just ... the luxury edition has so much more eagle. It saddens me to think of you missing out.
",20,2,7
"4327","Amy: Oh, don't be sad. My parents are paying and they're incredibly rich.
",20,2,7
"4328","Mechanic: I installed shock-absorbing bumpers to reduce the risk of catastrophic butt failure.
",20,2,7
"4329","Bender: You, sir, have defaced a national treasure! I demand you restore my buttocks to their former glory.
",20,2,7
"4330","Mechanic: Alright. But sooner or later that ass is gonna blow, and when it does, I just pray you're not moonin' someone you care about.
",20,2,7
"4331","Amy: Smeesh, Leela! This car has everything a beautiful woman like me needs. Victor said so.
",20,2,7
"4332","Victor: [quietly; to himself] No dog food for Victor tonight.
",20,2,7
"4333","Leela: OK, the sticker says 55,000, but we'll only go as high as, say--
",20,2,7
"4334","Amy: 60,000!
",20,2,7
"4335","Victor: Oh, I will have to ask my manager.
",20,2,7
"4336","Leela: Amy, you don't go up from the sticker price.
",20,2,7
"4337","Amy: I thought it was an auction.
",20,2,7
"4338","Victor: He is not too happy.
",20,2,7
"4339","Amy: I'm sorry. 80,000?
",20,2,7
"4340","Amy: Uh-oh. I'm terrible at parallel parking.
",20,2,7
"4341","Hermes: [from inside] And now you're asking for a day off? Get out of my and my sight! [Fry and Leela look at each other and shrug.] You're bogarting my patience.
",20,2,7
"4342","Leela: Hermes, who were you yelling at?
",20,2,7
"4343","Hermes: Myself. I asked myself a Valentine's Day off, but I was in no mood for any of my shenanigans.
",20,2,7
"4344","Fry: Valentine's Day's coming? Oh, crap! I forgot to get a girlfriend again. Well, since neither of us has a date, why don't we...?
",20,2,7
"4345","Leela: You just assume I can't get a Valentine's date?
",20,2,7
"4346","Fry: Shall we say eight o'clock?
",20,2,7
"4347","Amy: Hey, I'm taking my new car out for a spin to Mercury. Anybody wanna come?
",20,2,7
"4348","Fry: Yeah, OK. What's the weather like?
",20,2,7
"4349","Amy: The usual: Boiling lead, oceans of lava.
",20,2,7
"4350","Fry: So, what? Shorts?
",20,2,7
"4351","Fry: Boy, this A.C. is incredible! [He shivers.] I'd better turn on the heater too. [He does and the fuel gauge starts to go down. They pass Hg's Fuel, the only fuel station on the planet.] [shouting] Boy, this heater is incredible! I'd better turn up the A.C. some more.
",20,2,7
"4352","Amy: [shouting] Hey, how about some icy margaritas?
",20,2,7
"4353","Fry: [shouting] Yeah! [He pushes a button and two glasses and a mixer comes out. The fuel gauge drops further.] We're slowing down!
",20,2,7
"4354","Amy: [shouting] Don't worry. I'll hit the fuel guzzler!
",20,2,7
"4355","Fry: [shouting] Who wants pop-tarts? [He puts the pop-tarts in the toaster and turns it on full. The engine stops, the heater and A.C. go off, the mixer stops and the car jerks to a halt, then falls to the ground. Amy gasps and sees the fuel gauge is empty. Fry takes his shades off and sees the sign to Hg's Fuel; 4750 miles one way, 4750 miles the other way.] Uh-oh!
",20,2,7
"4356","Amy: It's OK, I have an emergency phone.
",20,2,7
"4357","Fry: What are you doing?
",20,2,7
"4358","Amy: Spluh! It's a video-phone. [She presses a button on the steering wheel and a screen and dialling pad fold out. She dials.] Lucky I'm a member of the Astro-Afro-Antarctico-Amer-Asian Auto Association. [A man appears on the screen.] Hello? Septuple-A?
",20,2,7
"4359","Fry: Phew!
",20,2,7
"4360","Amy: It'll be a couple hours. Oh, I'm gonna get sweat on my sweat-suit.
",20,2,7
"4361","Fry: Hey, tell me something: You've got all this money, how come you always dress like you're doing your laundry?
",20,2,7
"4362","Amy: I guess 'cause my parents keep telling me to be more ladylike. [She scoffs.] As though!
",20,2,7
"4363","Fry: I've been there. My folks were always on me to groom myself and wear underpants. What am I, the Pope?
",20,2,7
"4364","Amy: Yeah, and if you were the Pope they'd be all, ""Straighten your Pope hat,"" and, ""Put on your good vestments."" [Fry laughs then Amy joins in.] You know, Fry, it's nice to find someone I can talk to about stuff, and junk.
",20,2,7
"4365","Fry: Yeah, it's like we feel the same way about junk and stuff, or, whatever.
",20,2,7
"4366","Amy: So while they're towin' us, you wanna do it?
",20,2,7
"4367","Fry: Yeah.
",20,2,7
"4368","Hermes: Which concludes the summary of the movie I saw last night. Now, any old business?
",20,2,7
"4369","All: [simultaneous] No.
",20,2,7
"4370","Hermes: Any new business?
",20,2,7
"4371","All: [simultaneous] No.
",20,2,7
"4372","Hermes: Anyone spend the night together?
",20,2,7
"4373","Amy: Yep.
",20,2,7
"4374","Fry: Kind of.
",20,2,7
"4375","Bender: What?
",20,2,7
"4376","Hermes: Oh, my God!
",20,2,7
"4377","Amy: We ran out of fuel on Mercury and one thing led to another.
",20,2,7
"4378","Fry: And it led there again when we got home.
",20,2,7
"4379","Bender: Congratulations, Fry, you snagged the perfect girlfriend. Amy's rich, she's probably got other characteristics.
",20,2,7
"4380","Leela: Bender! Romance isn't about money.
",20,2,7
"4381","Bender: Oh, so it's just coincidence that Zoidberg here is desperately poor and miserably lonely? Puh-lease!
",20,2,7
"4382","Leela: For your information, it's because he's hideous.
",20,2,7
"4383","Hermes: Well I think Amy and Fry go together like a lime and coconut.
",20,2,7
"4384","Farnsworth: Do I hear wedding bells?
",20,2,7
"4385","Fry: What? No!
",20,2,7
"4386","Farnsworth: Really? Oh, dear.
",20,2,7
"4387","Zoidberg: You're both very lucky. I'd pay anything to end my miserable loneliness. If only I weren't so desperately poor.
",20,2,7
"4388","Bender: Wait. You mean people will pay good money for romance? Hmm. I think I have a scheme so deviously clever that I--
",20,2,7
